year,flow,code,value
2012,Export,61,9421033677
2013,Export,61,9567937877
2015,Export,61,12767099522
2012,Export,62,9850163837
2013,Export,62,9999795331
2015,Export,62,13765225603
2008,Export,61,6299690509
2009,Export,61,6470641883
2010,Export,61,7785527632
2011,Export,61,9936304901
2008,Export,62,5649460604
2009,Export,62,5811372699
2010,Export,62,7059025061
2011,Export,62,9225733521
2002,Export,61,1443022305
2003,Export,61,2124118354
2004,Export,61,3007038113
2005,Export,61,3346925339
2006,Export,61,4072097406
2007,Export,61,4734698171
2002,Export,62,2613852100
2003,Export,62,2916673641
2004,Export,62,3224252775
2005,Export,62,3498608848
2006,Export,62,4179923628
2007,Export,62,4588550374
1989,Export,61,38995060
1990,Export,61,86517102
1991,Export,61,152276422
1992,Export,61,185949312
1993,Export,61,227295728
1994,Export,61,262901744
1995,Export,61,406227451
1996,Export,61,559439651
1997,Export,61,763065828
1998,Export,61,964313829
2000,Export,61,1199485982
2001,Export,61,1281533792
1989,Export,62,410483856
1990,Export,62,556435179
1991,Export,62,687361669
1992,Export,62,854740416
1993,Export,62,1078276379
1994,Export,62,1213726464
1995,Export,62,1562456094
1996,Export,62,1658742322
1997,Export,62,1925158433
1998,Export,62,2819630884
2000,Export,62,2920524425
2001,Export,62,2757655123
